variable,scale,reverse_applied,valid_n,weighted_bottom2_%,weighted_neutral_%,weighted_top2_%,weighted_NSS_pp,unweighted_bottom2_%,unweighted_neutral_%,unweighted_top2_%,unweighted_NSS_pp
q1,7,False,1703,4.53,25.5,26.57,22.04,3.99,21.96,31.12,27.13
q19,5,True,1703,23.83,45.89,30.29,6.46,23.96,40.22,35.82,11.86
q2,7,False,1703,1.95,20.96,34.59,32.64,2.11,20.38,35.88,33.76
q3,7,False,1703,3.31,23.57,31.01,27.71,2.64,22.55,32.47,29.83
q5_1,7,False,1703,3.57,26.78,33.26,29.68,2.99,23.31,36.0,33.0
q5_2,7,False,1703,3.96,23.95,32.89,28.93,3.05,22.55,37.58,34.53
q5_3,7,False,1703,2.37,24.93,36.18,33.81,2.41,23.9,39.81,37.4
q5_4,7,False,1703,3.98,27.61,31.26,27.28,3.58,27.66,35.11,31.53
q5_5,7,False,1703,3.28,23.91,33.41,30.13,2.88,23.31,36.05,33.18
q7,7,False,1703,58.53,7.43,0.0,-58.53,65.47,6.34,0.0,-65.47
